Net solar fluxes extracted from Fig. 3 in Tomasko et al. (2008): 10.1016/j.pss.2007.10.012
Altitude(km)        NetSolarFlux(W/m^2)
0.4151713461403048  0.42744775174160843
5.587221166701845   0.520544648511716
11.498135247343605  0.6269411019632676
17.407641967489973  0.7199788895925687
23.686580817676443  0.8196664555625923
35.502779536978395  0.9790246991766942
45.8426570966153    1.125142495250158
57.28801632538175   1.2644922947012884
70.57772148335796   1.4103736542115262
84.60699458166208   1.5762339033143342
97.8966997396383    1.7221152628245724
112.65991133628877  1.8545197382309482
125.57736964323412  1.967033987755964
139.9704454295968   2.0861093519104923
155.10238547603973  2.2184842727464646
172.44458518049396  2.3306438674266414
185.36063612694392  2.4297994511294068
199.38076138202803  2.5088283723875873
212.29470128773488  2.587945957356977
226.31553022306667  2.6736542115262827
237.01428470902823  2.726231792273591
249.18936035465487  2.7920498205615374
